Date,Value
1950-12-02,-0.570507
1950-12-03,-0.319337
1950-12-04,-0.784977
1950-12-05,-0.493631
1950-12-06,1.23835
1950-12-07,1.37084
1950-12-08,-0.338869
1950-12-09,-1.40203
1950-12-10,-0.729627
1950-12-11,-1.17909
1950-12-12,-1.28435
1950-12-13,-1.0558
1950-12-14,-1.16356
1950-12-15,-1.17061
1950-12-16,-1.21124
1950-12-17,-1.0819
1950-12-18,-0.479186
1950-12-19,-0.395628
1950-12-20,0.11731
1950-12-21,0.803216
1950-12-22,1.20089
1950-12-23,0.305919
1950-12-24,0.163208
1950-12-25,-0.366415
1950-12-26,-0.428136
1950-12-27,0.448547
1950-12-28,0.402085
1950-12-29,0.184538
1950-12-30,0.240067
1950-12-31,0.0753311
1951-01-01,0.292258
1951-01-02,0.398704
1951-01-03,0.699199
1951-01-04,0.515664
1951-01-05,0.216533
1951-01-06,-0.107395
1951-01-07,0.486386
1951-01-08,1.20261
1951-01-09,1.33567
1951-01-10,1.52519
1951-01-11,2.27334
1951-01-12,2.4803
1951-01-13,3.02905
1951-01-14,2.79189
1951-01-15,2.40704
1951-01-16,3.22107
1951-01-17,3.57547
1951-01-18,2.53446
1951-01-19,1.85816
1951-01-20,1.65646
1951-01-21,1.52807
1951-01-22,1.25484
1951-01-23,0.865442
1951-01-24,0.456581
1951-01-25,0.262997
1951-01-26,-0.806063
1951-01-27,-2.37564
1951-01-28,-2.61384
1951-01-29,-2.32831
1951-01-30,-1.8711
1951-01-31,-0.727505
1951-02-01,-0.343984
1951-02-02,0.537761
1951-02-03,1.2195
1951-02-04,0.990879
1951-02-05,0.287595
1951-02-06,-0.584102
1951-02-07,-0.108469
1951-02-08,0.552055
1951-02-09,0.495956
1951-02-10,-0.0862944
1951-02-11,-0.657029
1951-02-12,-0.980584
1951-02-13,-0.128469
1951-02-14,0.386284
1951-02-15,0.721446
1951-02-16,1.25744
1951-02-17,1.44287
1951-02-18,1.20649
1951-02-19,0.681346
1951-02-20,-0.754158
1951-02-21,-1.63999
1951-02-22,-0.987209
1951-02-23,-0.0512942
1951-02-24,0.361905
1951-02-25,0.313362
1951-02-26,-0.0899777
1951-02-27,0.504045
1951-02-28,0.140617
1951-03-01,-0.452664
1951-03-02,-0.420553
1951-03-03,-0.205365
1951-03-04,-0.132957
1951-03-05,0.127078
1951-03-06,-0.0643248
1951-03-07,-0.671443
1951-03-08,-0.588811
1951-03-09,-0.153417
1951-03-10,0.201551
1951-03-11,0.602434
1951-03-12,1.13604
1951-03-13,0.610194
1951-03-14,-0.241742
1951-03-15,-0.0402704
1951-03-16,0.514124
1951-03-17,0.289116
1951-03-18,-0.712423
1951-03-19,-1.12747
1951-03-20,-0.31769
1951-03-21,0.170481
1951-03-22,0.468588
1951-03-23,0.970209
1951-03-24,0.750239
1951-03-25,1.04853
1951-03-26,1.44007
1951-03-27,0.461218
1951-03-28,0.426928
1951-03-29,0.348571
1951-03-30,-0.262763
1951-03-31,-0.478073
1951-04-01,-0.497204
1951-04-02,0.0162946
1951-04-03,0.454796
1951-04-04,0.615894
1951-04-05,0.00987378
1951-04-06,0.241198
1951-04-07,0.614823
1951-04-08,0.518435
1951-04-09,-0.51766
1951-04-10,-1.14105
1951-04-11,-1.168
1951-04-12,-1.04402
1951-04-13,-1.37902
1951-04-14,-1.72767
1951-04-15,-1.70322
1951-04-16,-1.99876
1951-04-17,-2.25333
1951-04-18,-2.32959
1951-04-19,-2.43479
1951-04-20,-2.35462
1951-04-21,-1.95483
1951-04-22,-1.2702
1951-04-23,-0.57043
1951-04-24,0.149424
1951-04-25,0.993647
1951-04-26,1.95314
1951-04-27,2.69638
1951-04-28,2.8907
1951-04-29,2.25957
1951-04-30,1.55836
1951-05-01,0.642846
1951-05-02,-0.421642
1951-05-03,-1.00565
1951-05-04,-0.907102
1951-05-05,-1.55545
